ATC;Toimeained;Ravimi nimetus;Ravimivorm;Tugevus;Retseptinõue;Soodustused;Müügiloa hoidja;Ravimiinfo tervishoiu töötajale;Ravimiinfo patsiendile;
"N05AX12";"aripiprasool";"ABILIFY MAINTENA";"toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti süstlis";"300mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#882_et";"";
"N05AX12";"aripiprasool";"ABILIFY MAINTENA";"toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti süstlis";"400mg";"R";"";"Otsuka Pharmaceutical Netherlands B.V.";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#882_et";"";
"H02AB09";"hüdrokortisoon";"ABIX";"tablett";"50mg";"R";"";"VITABALANS OY";"SPC_1233122.pdf";"";
"L01CD01";"paklitakseel";"ABRAXANE";"infusioonisuspensiooni pulber";"100mg";"R";"";"Celgene Europe BV";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#428_et";"";
"L01CD01";"paklitakseel";"ABRAXANE";"infusioonisuspensiooni pulber";"250mg";"R";"";"Celgene Europe BV";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#428_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"5000RÜ 0.5ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"30000RÜ 0.75ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"7000RÜ 0.7ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"6000RÜ 0.6ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"3000RÜ 0.3ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"2000RÜ 1ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"40000RÜ 1ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"1000RÜ 0.5ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"20000RÜ 0.5ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"8000RÜ 0.8ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"9000RÜ 0.9ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"4000RÜ 0.4ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"B03XA01";"alfaepoetiin";"ABSEAMED";"süstelahus süstlis";"10000RÜ 1ml";"R";"";"MEDICE Arzneimittel Pütter GmbH & Co. KG";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#412_et";"";
"R05CB01";"atsetüültsüsteiin";"ACC";"suukaudne lahus";"20mg 1ml";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1584301.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC";"suukaudse lahuse pulber";"600mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1712203.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC 100 MG";"suukaudse lahuse pulber";"100mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1039249.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC 100 MG";"kihisev tablett";"100mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1112500.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC 100 MG/ML";"süstelahus";"100mg 1ml";"R";"";"Sandoz Pharmaceuticals d.d.";"SPC_1035379.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC 200 MG";"kihisev tablett";"200mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1112465.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC 200 MG";"suukaudse lahuse pulber";"200mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1039238.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC HOT 200MG";"suukaudse lahuse pulber";"200mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1034738.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC LONG";"kihisev tablett";"600mg";"K";"Jah";"Sandoz Pharmaceuticals d.d.";"SPC_1493120.pdf";"";
"R05CB01";"atsetüültsüsteiin";"ACC LONG";"suukaudne pulber kotikeses";"600mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1720763.pdf";"";
"L03AA02";"filgrastiim";"ACCOFIL";"süste-/infusioonilahus süstlis";"300mcg 0.5ml";"R";"";"Accord Healthcare Limited";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#946_et";"";
"L03AA02";"filgrastiim";"ACCOFIL";"süste-/infusioonilahus süstlis";"480mcg 0.5ml";"R";"";"Accord Healthcare Limited";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#946_et";"";
"R06AE07";"tsetirisiin";"ACETERIN";"õhukese polümeerikattega tablett";"10mg";"R";"Jah";"Sandoz Pharmaceuticals d.d.";"SPC_1121870.pdf";"";
"R06AE07";"tsetirisiin";"ACETERIN EXPRESS";"õhukese polümeerikattega tablett";"10mg";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1121881.pdf";"";
"J05AB01";"atsikloviir";"ACIC 200 MG";"tablett";"200mg";"K,R";"";"Sandoz Pharmaceuticals d.d.";"SPC_1013623.pdf";"";
"J05AB01";"atsikloviir";"ACIC 400 MG";"tablett";"400mg";"R";"Jah";"Globalex Pharma OÜ";"SPC_1738289.pdf";"";
"J05AB01";"atsikloviir";"ACIC 400 MG";"tablett";"400mg";"R";"Jah";"Sandoz Pharmaceuticals d.d.";"SPC_1165384.pdf";"";
"D06BB03";"atsikloviir";"ACIC 5%";"kreem";"50mg 1g";"K";"";"Sandoz Pharmaceuticals d.d.";"SPC_1035773.pdf";"";
"D06BB03";"atsikloviir";"ACICLOVIR ACTAVIS";"kreem";"50mg 1g";"K";"";"Actavis Group PTC ehf";"SPC_1086263.pdf";"";
"J05AB01";"atsikloviir";"ACICLOVIR CLARIS";"infusioonilahuse kontsentraat";"25mg 1ml";"R";"";"Claris Lifesciences (UK) Limited";"SPC_1538412.pdf";"";
"D06BB03";"atsikloviir";"ACICLOVIR SIROMED";"kreem";"50mg 1g";"K";"";"STADA  Arzneimittel AG";"SPC_1025862.pdf";"";
"A02BC02";"pantoprasool";"ACILIB";"gastroresistentne tablett";"20mg";"K";"";"Meda Pharma SIA";"SPC_1640764.pdf";"";
"M05BA08";"zoledroonhape";"ACLASTA";"infusioonilahus";"0,05mg 1ml";"R";"";"Novartis Europharm Limited";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#308_et";"";
"M01AH01";"tselekoksiib";"ACLEXA";"kõvakapsel";"200mg";"R";"Jah";"KRKA d.d., Novo mesto";"SPC_1596797.pdf";"";
"M01AH01";"tselekoksiib";"ACLEXA";"kõvakapsel";"100mg";"R";"Jah";"KRKA d.d., Novo mesto";"SPC_1596719.pdf";"";
"C09DA07";"telmisartaan +hüdroklorotiasiid";"ACTELSAR HCT";"tablett";"40mg +12,5mg";"R";"";"Actavis Group PTC ehf";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#817_et";"";
"C09DA07";"telmisartaan +hüdroklorotiasiid";"ACTELSAR HCT";"tablett";"80mg +25mg";"R";"";"Actavis Group PTC ehf";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#817_et";"";
"C09DA07";"telmisartaan +hüdroklorotiasiid";"ACTELSAR HCT";"tablett";"80mg +12,5mg";"R";"";"Actavis Group PTC ehf";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#817_et";"";
"R01BA81";"pseudoefedriin +triprolidiin";"ACTIFED";"tablett";"60mg +2,5mg";"K";"";"McNeil Products Limited";"SPC_1006636.pdf";"";
"R01BA81";"pseudoefedriin +triprolidiin";"ACTIFED";"siirup";"6mg +0,25mg 1ml";"K";"";"McNeil Products Limited";"SPC_1004173.pdf";"";
"L01BC82";"fluorouratsiil +salitsüülhape";"ACTIKERALL";"nahalahus";"5mg +100mg 1g";"R";"";"Almirall Hermal GmbH";"SPC_1552014.pdf";"";
"B01AD02";"alteplaas";"ACTILYSE";"süste-/infusioonilahuse pulber ja lahusti";"50mg";"R";"";"BOEHRINGER INGELHEIM INTERNATIONAL GmbH";"SPC_1004128.pdf";"";
"G03FA01";"noretisteroon +östradiool";"ACTIVELLE";"õhukese polümeerikattega tablett";"0,5mg +1mg";"R";"";"Globalex Pharma OÜ";"SPC_1771837.pdf";"";
"G03FA01";"noretisteroon +östradiool";"ACTIVELLE";"õhukese polümeerikattega tablett";"0,5mg +1mg";"R";"";"Globalex Pharma OÜ";"SPC_1730898.pdf";"";
"G03FA01";"noretisteroon +östradiool";"ACTIVELLE";"õhukese polümeerikattega tablett";"0,5mg +1mg";"R";"Jah";"Novo Nordisk A/S";"SPC_1175464.pdf";"";
"G03FA01";"noretisteroon +östradiool";"ACTIVELLE";"õhukese polümeerikattega tablett";"0,5mg +1mg";"R";"Jah";"First Pharma OÜ";"SPC_1731013.pdf";"";
"A10BG03";"pioglitasoon";"ACTOS";"tablett";"15mg";"R";"";"Takeda Pharma A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#150_et";"";
"A10BG03";"pioglitasoon";"ACTOS";"tablett";"45mg";"R";"";"Takeda Pharma A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#150_et";"";
"A10BG03";"pioglitasoon";"ACTOS";"tablett";"30mg";"R";"";"Takeda Pharma A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#150_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 30";"süstesuspensioon";"40RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 30";"süstesuspensioon";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 30 FLEXPEN";"süstesuspensioon pen-süstlis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 30 INNOLET";"süstesuspensioon pen-süstlis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 30 PENFILL";"süstesuspensioon kolbampullis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 40 PENFILL";"süstesuspensioon kolbampullis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AD01";"lühikese toimeajaga ja keskmise toimeajaga humaaninsuliin";"ACTRAPHANE 50 PENFILL";"süstesuspensioon kolbampullis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#229_et";"";
"A10AB01";"lühikese toimeajaga humaaninsuliin";"ACTRAPID";"süstelahus";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#230_et";"";
"A10AB01";"lühikese toimeajaga humaaninsuliin";"ACTRAPID";"süstelahus";"40RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#230_et";"";
"A10AB01";"lühikese toimeajaga humaaninsuliin";"ACTRAPID FLEXPEN";"süstelahus pen-süstlis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#230_et";"";
"A10AB01";"lühikese toimeajaga humaaninsuliin";"ACTRAPID INNOLET";"süstelahus pen-süstlis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"http://ec.europa.eu/health/documents/community-register/html/h_direct_anx.htm#230_et";"";
"A10AB01";"lühikese toimeajaga humaaninsuliin";"ACTRAPID PENFILL";"süstelahus kolbampullis";"100RÜ 1ml";"R";"";"Novo Nordisk A/S";"SPC_1215751.pdf";"";
"D06BB03";"atsikloviir";"ACYCLOVIR STADA";"kreem";"50mg 1g";"K,R";"";"STADA  Arzneimittel AG";"SPC_1025851.pdf";"";
"J07AX80";"difteeria-teetanus-läkaköha";"ADACEL";"süstesuspensioon süstlis";"0.5ml";"R";"";"Sanofi Pasteur";"SPC_1659416.pdf";"";
