ID;AtcCode;Name;FormOfInjection;Strength;LegalStatus;Reimbursement;Manufacturer;Spc;Pil;ValidFrom;ValidTo
12;B05BB01;RINGER-LACTAT B.BRAUN;solution for infusion;;Hospital use;No;B.Braun Melsungen AG;SPC_1067048.pdf;PIL_1067048.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
13;N01AX13;DILÄMMASTIKOKSIID;medicinal gas;100%;Hospital use;No;AS ELME MESSER GAAS;SPC_1706419.pdf;PIL_1706419.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
14;G02AD02;PROSTENOON-GEEL;endocervical gel;1mg 3ml;Hospital use;No;Kevelt AS;SPC_1046348.pdf;PIL_1046348.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
15;B05AA80;VOLUVEN;solution for infusion;60mg +9mg 1ml;Hospital use;No;FRESENIUS KABI Deutschland GmbH;SPC_1311332.pdf;PIL_1311332.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
16;L04AA18;CERTICAN 0,25 MG TABLETID;tablet;0,25mg;Hospital use,Prescription;No;SIA Novartis Baltics;SPC_1155934.pdf;PIL_1155934.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
17;B05BC01;MANNITOL FRESENIUS 15%;solution for infusion;15%;Hospital use;No;Fresenius Kabi Polska Sp.zo.o.;SPC_1553105.pdf;PIL_1553105.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
18;B05AA06;GELASPAN;solution for infusion;4%;Hospital use;No;B. Braun Melsungen AG;SPC_1722169.pdf;PIL_1722169.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
19;N06AX22;THYMANAX;film-coated tablet;25mg;Hospital use,Prescription;No;Servier (Ireland) Industries Limited;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000916/WC500038317.pdf;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000916/WC500038317.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
20;C09CA01;SARTENS 50 MG;film-coated tablet;50mg;Hospital use,Prescription;No;G.L. Pharma GmbH;SPC_1305694.pdf;PIL_1305694.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
21;V07AB80;SODIUM CHLORIDE B. BRAUN 0,9%;solution for injection;0,9% 1ml;Hospital use;No;B. BRAUN MELSUNGEN AG;SPC_1078815.pdf;PIL_1078815.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
22;N05AL05;AMISAN 50 MG;tablet;50mg;Hospital use,Prescription;No;PRO.MED.CS Praha a.s.;SPC_1341997.pdf;PIL_1341997.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
23;N06AX11;MIRTAZAPIN ACTAVIS;orodispersible tablet;45mg;Hospital use,Prescription;No;Actavis Group PTC ehf;SPC_1273373.pdf;PIL_1273373.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
24;B05BA03;GLUCOSE B. BRAUN 5%;solution for infusion;5%;Hospital use;No;B. Braun Melsungen AG;SPC_1078893.pdf;PIL_1078893.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
25;V03AN01;CONOXIA;medicinal gas, compressed;100%;Hospital use;No;Aga AB;SPC_1274655.pdf;PIL_1274655.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
26;B05XA03;SODIUM CHLORIDE B. BRAUN 0,9%;solution for infusion;0,90%;Hospital use;No;B. BRAUN MELSUNGEN AG;SPC_1233953.pdf;PIL_1233953.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
27;C09DA01;SARTENS PLUS 50/12,5 MG;film-coated tablet;50mg +12,5mg;Hospital use,Prescription;No;G.L. Pharma GmbH;SPC_1266117.pdf;PIL_1266117.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
28;N01AB06;FORANE;inhalation vapour, liquid;;Hospital use;No;AbbVie Limited;SPC_1042131.pdf;PIL_1042131.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
29;N01AB07;SUPRANE;inhalation vapour, liquid;;Hospital use;No;BAXTER S.A.;SPC_1023758.pdf;PIL_1023758.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
30;V03AN01;HAPNIK;medicinal gas;100%;Hospital use;No;AS ELME MESSER GAAS;SPC_1681231.pdf;PIL_1681231.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
31;V03AN05;AIRAPY;medicinal gas, compressed;100%;Hospital use;No;Aga AB;SPC_1280641.pdf;PIL_1280641.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
32;C09DX03;SANORAL HCT;film-coated tablet;40mg +10mg +25mg;Hospital use,Prescription;No;Menarini International Operations Luxembourg S.A.;SPC_1453261.pdf;PIL_1453261.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
33;N01AX07;ETOMIDATE-LIPURO;emulsion for injection;2mg 1ml;Hospital use;No;B. Braun Melsungen AG;SPC_1033816.pdf;PIL_1033816.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
34;G02AD02;PROSTENOON;concentrate for solution for infusion;1mg 1ml;Hospital use;No;Kevelt AS;SPC_1040993.pdf;PIL_1040993.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
35;B05XA01;POTASSIUM CHLORIDE BRAUN 7,45%;concentrate for solution for infusion;7,45%;Hospital use;No;B. BRAUN MELSUNGEN AG;SPC_1070301.pdf;PIL_1070301.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
36;C09BB04;VIACORAM 7 MG/5 MG;tablet;7mg +5mg;Hospital use,Prescription;No;Les Laboratoires Servier;SPC_1629211.pdf;PIL_1629211.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
37;L04AA18;CERTICAN 0,25 MG DISPERGEERUVAD TABLETID;dispersible tablet;0,25mg;Hospital use,Prescription;No;SIA Novartis Baltics;SPC_1156238.pdf;PIL_1156238.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
38;R03BB04;SPIRIVA;inhalation powder, hard capsule;18mcg;Hospital use,Prescription;No;BOEHRINGER INGELHEIM INTERNATIONAL GmbH;SPC_1513493.pdf;PIL_1513493.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
39;C09CA01;SARTENS 100 MG;film-coated tablet;100mg;Hospital use,Prescription;No;G.L. Pharma GmbH;SPC_1305807.pdf;PIL_1305807.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
40;N03AF02;OXCARBAZEPINE TEVA 300 MG;film-coated tablet;300mg;Hospital use,Prescription;Yes;Teva Pharma B.V.;SPC_1326855.pdf;PIL_1326855.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
41;B05XA02;SODIUM BICARBONATE BRAUN 8,4%;solution for infusion;8,40%;Hospital use;No;B. BRAUN MELSUNGEN AG;SPC_1212400.pdf;PIL_1212400.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
42;L04AA18;CERTICAN 0,1 MG DISPERGEERUVAD TABLETID;dispersible tablet;0,1mg;Hospital use,Prescription;No;SIA Novartis Baltics;SPC_1156193.pdf;PIL_1156193.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
43;N01AB08;SEVORANE;inhalation vapour, liquid;;Hospital use;No;AbbVie SIA;SPC_1074428.pdf;PIL_1074428.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
44;B05AA83;GELOPLASMA;solution for infusion;30mg +5,382mg +0,373mg +0,305mg +3,36mg 1ml;Hospital use;No;Fresenius Kabi France;SPC_1274633.pdf;PIL_1274633.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
45;L04AA18;CERTICAN 0,75 MG TABLETID;tablet;0,75mg;Hospital use,Prescription;No;"SIA Novartis Baltics""""";SPC_1156115.pdf;PIL_1156115.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
46;R05XA80;SINUPRET FORTE;coated tablet;12mg +36mg +36mg +36mg +36mg;Hospital use,OTC;No;First Pharma OÜ;SPC_1762613.pdf;PIL_1762613.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
47;N07BA01;NICORETTE INVISIPATCH;transdermal patch;15mg 16h;OTC;No;McNeil AB;SPC_1249006.pdf;PIL_1249006.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
48;A03AD02;NO-SPA;tablet;40mg;OTC;No;First Pharma OÜ;SPC_1683716.pdf;PIL_1683716.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
49;D06BB81;ZOVIRAX DUO;cream;50mg +10mg 1g;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1729267.pdf;PIL_1729267.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
50;G03AD01;POSTINOR;tablet;1500mcg;OTC;No;Gedeon Richter Plc.;SPC_1482803.pdf;PIL_1482803.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
51;A12BA81;PANANGIN;film-coated tablet;158mg +140mg;OTC;No;Gedeon Richter Plc.;SPC_1115233.pdf;PIL_1115233.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
52;B01AC80;HJERTEMAGNYL;film-coated tablet;75mg +10,5mg;OTC;No;Takeda Pharma AS;SPC_1275690.pdf;PIL_1275690.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
53;D03AX03;PANTHENOL SPRAY;cutaneous foam;4,63%;OTC;No;PharmaSwiss Ceska republika s.r.o;SPC_1018729.pdf;PIL_1018729.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
54;D08AG02;BRAUNOVIDON;ointment;100mg 1g;OTC;No;B.Braun Melsungen AG;SPC_1046089.pdf;PIL_1046089.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
55;A02AD83;GATTART;chewable tablet;680mg +80mg;OTC;No;Alkaloid - INT d.o.o.;SPC_1724150.pdf;PIL_1724150.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
56;D06BB03;ZOVIRAX;cream;50mg 1g;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1006603.pdf;PIL_1006603.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
57;C05BA01;HIRUDOID;gel;3mg 1g;OTC;No;UAB ?STADA-Nizhpharm-Baltija?;SPC_1029248.pdf;PIL_1029248.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
58;R01AB85;SEPTANAZAL;nasal spray, solution;0,5mg +50mg 1ml;OTC;No;KRKA d.d., Novo mesto;SPC_1589542.pdf;PIL_1589542.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
59;S01GA02;VISINE CLASSIC;eye drops, solution;0,05%;OTC;No;McNeil Products Limited;SPC_1016648.pdf;PIL_1016648.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
60;D08AJ81;OCTENISEPT;cutaneous solution;1mg +20mg 1ml;OTC;No;Surgitech AS;SPC_1637816.pdf;PIL_1637816.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
61;N02BE01;PARACETAMOL BASI 40 MG/ML;oral suspension;40mg 1ml;OTC;No;Laboratórios Basi - Industria Farmaceutica, S.A;SPC_1531055.pdf;PIL_1531055.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
62;R05CA12;HEDELIX;syrup;8mg 1ml;OTC;No;Krewel Meuselbach GmbH;SPC_1087219.pdf;PIL_1087219.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
63;N02BE75;THERAFLU;powder for oral solution;1000mg +200mg +12,2mg;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1659898.pdf;PIL_1659898.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
64;N07BA01;NIQUITIN;transdermal patch;7mg 24h;OTC;No;Richard Bittner AG;SPC_1042748.pdf;PIL_1042748.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
65;R01AC03;ALLERGODIL 0,1%;nasal spray, solution;1mg 1ml;OTC;No;Meda Pharma SIA;SPC_1028269.pdf;PIL_1028269.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
66;N02BE83;PANADOL EXTRA;film-coated tablet;500mg +65mg;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1076385.pdf;PIL_1076385.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
67;N07BA01;NICOTINELL TTS;transdermal patch;7mg 24h;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1006995.pdf;PIL_1006995.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
68;R05CB06;PRO-AMBROSAN;tablet;30mg;OTC;No;PRO. MED. CS. PRAHA a.s;SPC_1017009.pdf;PIL_1017009.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
69;R02AX01;STREPSILS INTENSIVE ORANGE 8,75MG LOSENGID (SUHKRUVABA);lozenge;8,75mg;OTC;No;Reckitt Benckiser (Poland) S.A.;SPC_1508677.pdf;PIL_1508677.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
70;R01AA07;SUDAFED XYLO;nasal drops, solution;1mg 1ml;OTC;No;McNeil Products Limited;SPC_1040184.pdf;PIL_1040184.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
71;N02BE52;WIPAR;film-coated tablet;500mg +60mg +0/500mg +0 +25mg;OTC;No;WICK Pharma Zweigniederlassung der Procter & Gamble GmbH;SPC_1733396.pdf;PIL_1733396.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
72;A02BC01;ULTOP;gastro-resistant capsule, hard;20mg;OTC,Prescription;Yes;KRKA d.d., Novo mesto;SPC_1131815.pdf;PIL_1131815.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
73;R01BA81;ACTIFED;tablet;60mg +2,5mg;OTC;No;McNeil Products Limited;SPC_1006636.pdf;PIL_1006636.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
74;N02BA01;ASA-GRINDEKS;tablet;500mg;OTC;No;AS Grindeks;SPC_1277535.pdf;PIL_1277535.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
75;D01AC81;IMAZOL PLUS;cream;10mg +2,5mg 1g;OTC;No;Laboratoires Bailleul S.A.;SPC_1314795.pdf;PIL_1314795.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
76;N02BA01;UPSTINON;effervescent tablet;324mg;OTC;No;PharmaEstica Manufacturing OÜ;SPC_1532854.pdf;PIL_1532854.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
77;N06DX02;BILOBIL INTENSE;capsule, hard;120mg;OTC;No;KRKA d.d., Novo mesto;SPC_1481015.pdf;PIL_1481015.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
78;R02AA82;SEPTOLETE OMNI LEMON & HONEY;lozenge;3mg +1mg;OTC;No;KRKA d.d., Novo mesto;SPC_1722866.pdf;PIL_1722866.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
79;N02BE94;SOLPADEINE;tablet;500mg +8mg +30mg;OTC;No;Richard Bittner AG;SPC_1028001.pdf;PIL_1028001.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
80;N02BE85;FERVEX;granules for oral solution;500mg +25mg +200mg;OTC;No;Bristol-Myers Squibb Gyogyszerkereskedelmi Kft.;SPC_1076431.pdf;PIL_1076431.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
81;A02BC02;PANTOZOL CONTROL;gastro-resistant tablet;20mg;OTC;No;Takeda GmbH;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001013/WC500038579.pdf;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001013/WC500038579.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
82;N02BE85;TALORBIN;granules for oral solution;500mg +25mg +200mg;OTC;No;Pharmanel Commercial Pharmaceutical Societe Anonyme;SPC_1645679.pdf;PIL_1645679.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
83;A11AA83;PIKOVIT;coated tablet;;OTC;No;KRKA d.d., Novo mesto;SPC_1107166.pdf;PIL_1107166.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
84;R02AA83;TONCILS EUCALYPTUS-ANISE-MENTHOL;lozenge;5mg +2mg;OTC;No;VITABALANS OY;SPC_1139521.pdf;PIL_1139521.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
85;N02BE84;COLDREX HOTREM BLACKCURRANT;powder for oral solution;750mg +10mg +60mg;OTC;No;Richard Bittner AG;SPC_1009202.pdf;PIL_1009202.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
86;A12AX80;CALCIGRAN;chewable tablet;500mg +200RÜ;OTC;No;Takeda Pharma AS;SPC_1065394.pdf;PIL_1065394.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
87;N02BE84;COLDREX MAXGRIP MENTHOL & BERRIES;powder for oral solution in sachet;1000mg +10mg +70mg;OTC;No;Richard Bittner AG;SPC_1500747.pdf;PIL_1500747.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
88;R05DA09;DINAREX;syrup;1,5mg 1ml;OTC;No;Medochemie Ltd;SPC_1650732.pdf;PIL_1650732.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
89;A11EA80;APOVIT B-KOMPLEKS FORTE;film-coated tablet;15mg +60mg +15mg +30mg +15mg;OTC;No;Takeda Pharma AS;SPC_1100013.pdf;PIL_1100013.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
90;A03AX13;ESPUMISAN;capsule, soft;40mg;OTC;No;Berlin-Chemie AG (Menarini Group);SPC_1017515.pdf;PIL_1017515.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
91;N02BE85;FERVEX (SUHKRUVABA);granules for oral solution;200mg +25mg +500mg;OTC;No;Bristol-Myers Squibb Gyogyszerkereskedelmi Kft.;SPC_1076442.pdf;PIL_1076442.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
92;R02AA94;STREPSILS HONEY & LEMON;lozenge;0,6mg +1,2mg;OTC;No;Reckitt Benckiser (Poland) S.A.;SPC_1013106.pdf;PIL_1013106.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
93;D08AG03;SOLUTIO IODI SPIRITUOSA;cutaneous solution;5%;OTC;No;RIGA PHARMACEUTICAL PLANT;SPC_1039801.pdf;PIL_1039801.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
94;B03AE81;TOT'HEMA;oral solution;5mg +0,133mg +0,07mg 1ml;OTC;No;LABORATOIRE INNOTECH INTERNATIONAL;SPC_1127797.pdf;PIL_1127797.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
95;A02AD83;RENNIE;chewable tablet;680mg +80mg;OTC;No;UAB Bayer;SPC_1001002.pdf;PIL_1001002.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
96;G03AD01;LABELLA;tablet;1,5mg;OTC;No;UAB Exeltis Baltics;SPC_1566255.pdf;PIL_1566255.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
97;R01BA84;SUDAFED EXPECTORANT;syrup;6mg +20mg 1ml;OTC;No;McNeil Products Limited;SPC_1015513.pdf;PIL_1015513.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
98;A06AD11;DUPHALAC;oral solution;667mg 1ml;OTC;No;BGP Products SIA;SPC_1063224.pdf;PIL_1063224.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
99;N02BE01;PARACETAMOL SOPHARMA;tablet;500mg;OTC;No;Sopharma AD;SPC_1685471.pdf;PIL_1685471.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
100;R05CB06;BRONTEX TABLETID;tablet;30mg;OTC;No;ratiopharm GmbH;SPC_1008908.pdf;PIL_1008908.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
101;R02AA99;SEPTOLETE;lozenge;1mg +0,6mg +1,2mg +1mg +0,6mg;OTC;No;KRKA d.d., Novo mesto;SPC_1107649.pdf;PIL_1107649.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
102;A08AB01;ORLISTAT SANDOZ 60MG;capsule, hard;60mg;OTC;No;Sandoz Pharmaceuticals d.d.;SPC_1712191.pdf;PIL_1712191.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
103;R02AD80;TRACHITOL;lozenge;1mg +1,8mg;OTC;No;ENGELHARD ARZNEIMITTEL  GmbH & Co. KG;SPC_1031410.pdf;PIL_1031410.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
104;T01RS02;TRAUMEEL S;tablet;;OTC;No;Biologische Heilmittel Heel GmbH;SPC_1150883.pdf;PIL_1150883.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
105;M01AE01;IBUPROFEN-GRINDEKS;film-coated tablet;400mg;OTC;No;AS Grindeks;SPC_1135527.pdf;PIL_1135527.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
106;B01AC06;VASOPIRIN 75MG;gastro-resistant tablet;75mg;OTC;No;PharmaSwiss Ceska republika s.r.o;SPC_1555668.pdf;PIL_1555668.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
107;N02BE01;PARACETAMOL  ACCORD;tablet;500mg;OTC;No;Accord Healthcare Limited;SPC_1641967.pdf;PIL_1641967.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
108;G03AD02;ELLAONE;film-coated tablet;30mg;OTC;No;Laboratoire HRA Pharma;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001027/WC500023670.pdf;http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/001027/WC500023670.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
109;D06BB03;ACICLOVIR ACTAVIS;cream;50mg 1g;OTC;No;Actavis Group PTC ehf;SPC_1086263.pdf;PIL_1086263.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
110;N02BE94;SOLPADEINE SOLUBLE;effervescent tablet;500mg +8mg +30mg;OTC;No;Richard Bittner AG;SPC_1149465.pdf;PIL_1149465.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
111;N02BE83;PANADOL EXTRA OPTIZORB;film-coated tablet;65mg +500mg;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1546859.pdf;PIL_1546859.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
112;R06AA04;TAVEGYL;tablet;1mg;OTC;No;GlaxoSmithKline Consumer Healthcare (UK) Trading Limited;SPC_1006333.pdf;PIL_1006333.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
113;A03AX13;SAB SIMPLEX;oral drops, suspension;69,19mg 1ml;OTC;No;Pfizer Europe MA EEIG;SPC_1026571.pdf;PIL_1026571.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
114;N02BE92;CO-CODAMOL;tablet;500mg +8mg;OTC;No;Actavis Group PTC ehf;SPC_1018279.pdf;PIL_1018279.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
115;R02AA83;TONCILS LEMON;lozenge;5mg +2mg;OTC;No;VITABALANS OY;SPC_1087196.pdf;PIL_1087196.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
116;D03AX03;PANTHENOL-RATIOPHARM WUNDBALSAM;cream;50mg 1g;OTC;No;ratiopharm GmbH;SPC_1053964.pdf;PIL_1053964.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
117;R02AA82;SEPTOLETE OMNI LEMON & ELDERFLOWER;lozenge;3mg +1mg;OTC;No;KRKA d.d., Novo mesto;SPC_1722888.pdf;PIL_1722888.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
118;R05CA12;PROSPAN;oral solution;7mg 1ml;OTC;No;ENGELHARD ARZNEIMITTEL  GmbH & Co. KG;SPC_1346936.pdf;PIL_1346936.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
119;N02BA01;ALKA-SELTZER;effervescent tablet;324mg;OTC;No;UAB Bayer;SPC_1003644.pdf;PIL_1003644.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
120;R01AB85;SUDAFED XYLOSPRAY DEX;nasal spray, solution;1mg +50mg 1ml;OTC;No;McNeil Products Limited;SPC_1734375.pdf;PIL_1734375.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
121;M02AX86;MENTHOLATUM BALM;ointment;90mg +3,3mg +13,5mg 1g;OTC;No;THE MENTHOLATUM COMPANY LTD.;SPC_1114906.pdf;PIL_1114906.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
122;N07BA01;NIQUITIN MINI;compressed lozenge;1,5mg;OTC;No;Richard Bittner AG;SPC_1277906.pdf;PIL_1277906.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
123;T01RS01;ROSACTA;cream;100mg 1g;OTC;No;Medis GmbH;SPC_1757033.pdf;PIL_1757033.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
124;M02AA12;TREBEXEN;gel;100mg 1g;OTC;No;Proenzi s.r.o.;SPC_1697395.pdf;PIL_1697395.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
125;R06AX13;LORATIN EXPRESS;tablet;10mg;OTC;No;HEXAL AG;SPC_1088951.pdf;PIL_1088951.pdf;0001-01-01T00:00:01;9999-12-31T23:59:59
